movement_count;point;nodes_computed_heuristic;depth_reached;search_type;heuristic;heuristic_ver
0;java.awt.Point[x=2,y=4];1405209;12;MINIMAX_IDS;10.0;2.1
2;java.awt.Point[x=5,y=2];1462282;12;MINIMAX_IDS;0.0;2.1
4;java.awt.Point[x=4,y=2];1131440;12;MINIMAX_IDS;Infinity;2.1
6;java.awt.Point[x=5,y=6];1551586;12;MINIMAX_IDS;Infinity;2.1
8;java.awt.Point[x=4,y=0];1406222;12;MINIMAX_IDS;Infinity;2.1
10;java.awt.Point[x=6,y=5];1517511;12;MINIMAX_IDS;0.0;2.1
12;java.awt.Point[x=5,y=4];1555252;11;MINIMAX_IDS;95.0;2.1
14;java.awt.Point[x=7,y=4];1049045;10;MINIMAX_IDS;50.0;2.1
16;java.awt.Point[x=1,y=4];1511973;10;MINIMAX_IDS;40.0;2.1
18;java.awt.Point[x=5,y=0];1477305;10;MINIMAX_IDS;-Infinity;2.1
20;java.awt.Point[x=7,y=7];1286989;10;MINIMAX_IDS;Infinity;2.1
22;java.awt.Point[x=2,y=5];1101378;10;MINIMAX_IDS;Infinity;2.1
24;java.awt.Point[x=3,y=2];1356021;10;MINIMAX_IDS;Infinity;2.1
26;java.awt.Point[x=0,y=5];1792821;10;MINIMAX_IDS;Infinity;2.1
28;java.awt.Point[x=7,y=0];1918688;10;MINIMAX_IDS;-Infinity;2.1
30;java.awt.Point[x=0,y=7];1838689;10;MINIMAX_IDS;Infinity;2.1
32;java.awt.Point[x=4,y=7];1733698;10;MINIMAX_IDS;295.0;2.1
34;java.awt.Point[x=7,y=2];1464660;10;MINIMAX_IDS;405.0;2.1
36;java.awt.Point[x=7,y=3];1762313;11;MINIMAX_IDS;395.0;2.1
38;java.awt.Point[x=3,y=1];1582538;11;MINIMAX_IDS;440.0;2.1
40;java.awt.Point[x=1,y=7];1773196;13;MINIMAX_IDS;-Infinity;2.1
42;java.awt.Point[x=0,y=4];1629076;13;MINIMAX_IDS;450.0;2.1
44;java.awt.Point[x=1,y=2];1417919;16;MINIMAX_IDS;0.0;2.1
46;java.awt.Point[x=3,y=0];1266206;17;MINIMAX_IDS;0.0;2.1
48;java.awt.Point[x=2,y=7];786019;13;MINIMAX_IDS;Infinity;2.1
50;java.awt.Point[x=3,y=7];400072;12;MINIMAX_IDS;-Infinity;2.1
52;java.awt.Point[x=0,y=0];540296;10;MINIMAX_IDS;Infinity;2.1
54;java.awt.Point[x=7,y=1];823919;6;MINIMAX_IDS;Infinity;2.1
56;java.awt.Point[x=0,y=2];1557342;4;MINIMAX_IDS;-Infinity;2.1
58;java.awt.Point[x=7,y=5];4041438;2;MINIMAX_IDS;-Infinity;2.1
0;java.awt.Point[x=2,y=4];1430026;13;MINIMAX_IDS;45.0;2.1
2;java.awt.Point[x=5,y=6];1351898;13;MINIMAX_IDS;60.0;2.1
4;java.awt.Point[x=4,y=2];1512041;11;MINIMAX_IDS;25.0;2.1
6;java.awt.Point[x=5,y=4];1555670;11;MINIMAX_IDS;-5.0;2.1
8;java.awt.Point[x=6,y=0];1228905;13;MINIMAX_IDS;35.0;2.1
10;java.awt.Point[x=3,y=2];1144719;12;MINIMAX_IDS;0.0;2.1
12;java.awt.Point[x=7,y=7];1477613;11;MINIMAX_IDS;45.0;2.1
14;java.awt.Point[x=4,y=0];1577556;11;MINIMAX_IDS;95.0;2.1
